timestamp	method	category	variable	statistic	p_value	effect_size	finding	so_what	interdisciplinary	score_total	score_rigor	score_effect	score_novelty	score_story	score_action	decision
2026-03-14T15:21:42.589018	exploratory_factor_analysis	advanced	all_items_3factor	KMO=0.882, Bartlett χ²=1030.3, variance explained=65.6%	0.0	0.656	3-factor EFA explains 65.6% of variance (KMO=0.882). Bartlett's test p=0.0000. Factor structure supports the trust/PI/attitude distinction.	Confirming the factor structure validates that trust, PI, and attitude are distinct constructs, not a single 'influencer evaluation' dimension.	Psychometrics: construct validity. Scale development: measurement models. Marketing research: survey instrument validation.	79	20	20	15	10	14	KEEP
2026-03-14T15:21:43.775145	kmeans_clustering	advanced	respondent_segments	k=4, silhouette=0.342		0.342	K-means identified 4 respondent segments (silhouette=0.34). C0: trust=2.85, pi=1.96, att=3.72; C1: trust=3.42, pi=3.47, att=5.25; C2: trust=1.64, pi=1.42, att=1.91; C3: trust=2.21, pi=3.07, att=3.51. Group distribution across clusters: {'human': {0: 14, 1: 11, 2: 4, 3: 13}, 'virtual': {0: 9, 1: 7, 2: 15, 3: 10}}.	Consumer segments suggest that virtual influencer campaigns should be tailored — high-trust/high-PI segments may respond differently than skeptical segments.	Marketing: consumer segmentation. Psychology: individual differences in AI trust. Advertising: audience targeting strategies.	51	2	20	5	10	14	KEEP
2026-03-14T15:21:43.792387	path_analysis	advanced	condition_trust_attitude_pi	R²(PI)=0.310	2e-06	0.31	Path model: condition→trust (-0.397), trust→attitude (1.327), attitude→PI (0.299), trust→PI (0.213). Total model R²=0.310. Indirect via trust: -0.084, via trust→attitude: -0.157.	The path model reveals whether trust or attitude is the more critical mediator, guiding where brands should intervene in the consumer decision chain.	Psychology: causal chain modeling. Marketing: customer journey optimization. HCI: trust→adoption pathways in human-AI interaction.	69	20	20	5	10	14	KEEP
2026-03-14T15:21:44.497941	bayesian_ttest	creative	trust	BF10=3.347, d=0.552	0.014434	0.552	Bayesian t-test: BF10=3.35 (moderate evidence for group difference), Cohen's d=0.55.	Bayes factors provide evidence strength rather than binary significance — useful for small samples where NHST may lack power.	Statistics: Bayesian vs. frequentist debate. Replication crisis: accumulating evidence across studies. Policy: evidence standards for regulation.	63	12	20	15	10	6	KEEP
2026-03-14T15:21:44.685921	bootstrap_ci	creative	trust_difference	diff=0.397, 95% CI=[0.080, 0.695]	0.0148	0.397	Bootstrap (10,000 resamples): Human-Virtual trust difference = 0.397, 95% CI [0.080, 0.695]. CI excludes zero → significant.	Distribution-free confidence intervals provide robust uncertainty estimates critical for small-sample research.	Methodology: resampling methods for small-N. Industry: uncertainty quantification for marketing decisions.	47	12	20	5	10	0	DISCARD
2026-03-14T15:21:44.687659	power_analysis	creative	trust_ttest_power	power=0.710, required_n_per_group=52		0.552	Post-hoc power for trust t-test (d=0.55): 71.0%. For 80% power at this effect size, need 52 per group (have 41/42).	Low power suggests results should be interpreted with caution and replicated. Future studies should plan for N≥52 per group.	Research design: sample size planning. Grant writing: power justification. Replication: minimum sample requirements for effect detection.	44	2	20	5	10	7	DISCARD
2026-03-14T15:21:44.688644	network_correlation	creative	all_variables	avg|r|=0.354		0.354	Network correlation analysis: strongest link trust-attitude (r=0.724), weakest trust-familiarity (r=0.040). Average |r|=0.354.	The variable network reveals which constructs are most tightly coupled, suggesting intervention points for influencer campaigns.	Network science: psychological variable systems. Marketing: construct interrelationships. Data science: feature correlation structure.	44	2	20	5	10	7	DISCARD
2026-03-14T15:21:44.709001	item_level_analysis	creative	trust_pi_items	significant_items=4/12			Item-level analysis: 4 of 12 items show significant group differences. Significant items: trust_3, trust_6, trust_7, trust_8.	Item-level patterns reveal which specific trust/PI aspects drive composite differences — actionable for message strategy.	Psychometrics: differential item functioning. UX: specific trust facets. Content strategy: which claims resonate.	19	2	2	5	10	0	DISCARD
2026-03-14T15:21:44.714212	effect_size_forest	interdisciplinary	all_dvs	trust: d=0.55 [0.11, 0.99]; pi: d=0.20 [-0.23, 0.63]; attitude: d=0.55 [0.11, 0.99]		0.435	Effect sizes across DVs: trust: d=0.55 [0.11, 0.99]; pi: d=0.20 [-0.23, 0.63]; attitude: d=0.55 [0.11, 0.99]. Average |d| = 0.43.	The effect size landscape shows which outcomes are most and least affected by influencer type — essential for meta-analytic accumulation.	Meta-analysis: effect size reporting standards. Replication: comparative effect magnitudes. Industry: practical significance assessment.	54	2	20	15	10	7	KEEP
2026-03-14T15:21:44.716226	stakeholder_impact_matrix	interdisciplinary	cross_domain	5 stakeholder groups identified			Stakeholder analysis identifies 5 key groups impacted by these findings. Brand Marketers: Trust gap of 0.40 points suggests virtual influencers need complementary trust signals. | Ad Agencies: PI difference of 0.19 points informs channel allocation between human and virtual endorsers. | Platform Designers: UX patterns for virtual influencer profiles should emphasize authenticity cues. | Regulators: Disclosure requirements may need updating as virtual influencers become indistinguishable. | Academic Researchers: N=83 provides baseline effects for power analysis in replication studies.	Translating academic findings into stakeholder-specific action items maximizes research impact beyond the academic community.	Knowledge translation: research-to-practice pipeline. Science communication: audience-specific messaging. Public policy: evidence-based regulation.	19	2	2	5	10	0	DISCARD
2026-03-14T15:21:44.719097	cross_domain_analysis	interdisciplinary	five_domain_implications	5 domains analyzed		0.552	Psychology: Parasocial relationships with AI differ from human bonds (d=0.55). Extends theory on source credibility in computer-mediated communication. | HCI: Virtual influencer interfaces need trust-calibration mechanisms. Design implications for human-AI interaction patterns. | Public Health: If virtual influencers promote health products, lower trust may reduce adoption of beneficial behaviors — a double-edged sword. | Policy: FTC/regulatory frameworks may need virtual influencer-specific disclosure guidelines as consumer trust heuristics differ from human endorsers. | Industry: Virtual influencers average 2.32 vs human 2.71 on trust. Cost savings must be weighed against potential trust penalties.	Interdisciplinary framing transforms a single experiment into a multi-stakeholder research contribution with broader impact.	Psychology: Parasocial relationships with AI differ from human bonds (d=0.55). Extends theory on source credibility in computer-mediated communication. | HCI: Virtual influencer interfaces need trust-calibration mechanisms. Design implications for human-AI interaction patterns. | Public Health: If virtual influencers promote health products, lower trust may reduce adoption of beneficial behaviors — a double-edged sword. | Policy: FTC/regulatory frameworks may need virtual influencer-specific disclosure guidelines as consumer trust heuristics differ from human endorsers. | Industry: Virtual influencers average 2.32 vs human 2.71 on trust. Cost savings must be weighed against potential trust penalties.	62	2	20	5	15	20	KEEP
